Domain,Area,Indicator,Source,Year,Value
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2008",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2008",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2009",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2009",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2010",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2010",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2011",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2011",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2012",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2012",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2013",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2013",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2014",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2014",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2015",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2015",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2016",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2016",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2017",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2017",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Administrative records","2018",""
"Employment Indicators","United States of America","Employment in agriculture","Administrative records","2018",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2008",""
"Employment Indicators","United States of America","Employment in agriculture","Employment surveys","2008",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2009",""
"Employment Indicators","United States of America","Employment in agriculture","Employment surveys","2009",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2010",""
"Employment Indicators","United States of America","Employment in agriculture","Employment surveys","2010",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2011",""
"Employment Indicators","United States of America","Employment in agriculture","Employment surveys","2011",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2012",""
"Employment Indicators","United States of America","Employment in agriculture","Employment surveys","2012",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2013",""
"Employment Indicators","United States of America","Employment in agriculture","Employment surveys","2013",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2014",""
"Employment Indicators","United States of America","Employment in agriculture","Employment surveys","2014",""
"Employment Indicators","United States of America","Agriculture value added per worker (US$, 2010 prices)","Employment surveys","2015",""
