Date,Price
January-70,89.95
February-70,89.7
March-70,90.65
April-70,90.2
May-70,90.05
June-70,89.6
July-70,91
August-70,90.4
September-70,88.15
October-70,86.65
November-70,84.65
December-70,82.95
January-71,83.35
February-71,85.9
March-71,86.7
April-71,87
May-71,87.25
June-71,88.35
July-71,88.85
August-71,89.4
September-71,89.25
October-71,89
November-71,89.7
December-71,91.6
January-72,94.9
February-72,99.6
March-72,98.7
April-72,96.15
May-72,96.5
June-72,98.9
July-72,102.65
August-72,102.1
September-72,101
October-72,101.4
November-72,101.05
December-72,102.9
January-73,109.55
February-73,115.3
March-73,120.9
April-73,121.1
May-73,121
June-73,121.6
July-73,123.8
August-73,139.8
September-73,137.6
October-73,128.45
November-73,127.1
December-73,127.05
January-74,132
February-74,135.9
March-74,129.3
April-74,122.75
May-74,119.45
June-74,115.1
July-74,123.15
August-74,128.5
September-74,128.25
October-74,125.25
November-74,125.35
December-74,124.8
January-75,126.35
February-75,124.35
March-75,122.75
April-75,127.4
May-75,138.3
June-75,147.3
July-75,155.6
August-75,155.95
September-75,156.4
October-75,158.65
November-75,155.75
December-75,152.25
January-76,149.65
February-76,145.25
March-76,139.95
April-76,142.45
May-76,143.4
June-76,143.8
July-76,143.4
August-76,139.75
September-76,136.7
October-76,132.4
November-76,129.95
December-76,131.5
January-77,132.05
February-77,131.3
March-77,130.6
April-77,129.95
May-77,133.35
June-77,135.2
July-77,138.95
August-77,138.55
September-77,138.7
October-77,138.1
November-77,138.65
December-77,141.8
January-78,145.3
February-78,148.5
March-78,151.7
April-78,157.3
May-78,162.05
June-78,168.05
July-78,166.25
August-78,165.25
September-78,164.85
October-78,166.9
November-78,167.5
December-78,170.4
January-79,182.25
February-79,188.9
March-79,194.05
April-79,194.1
May-79,197.05
June-79,191.25
July-79,189.5
August-79,180.45
September-79,183.1
October-79,181.3
November-79,181.15
December-79,186.4
January-80,186.8
February-80,185.85
March-80,186.6
April-80,182.25
May-80,178.65
June-80,179.15
July-80,188.95
August-80,196.15
September-80,200.05
October-80,199.6
November-80,201.8
December-80,200.75
January-81,197.85
February-81,195.25
March-81,193.15
April-81,189
May-81,191.8
June-81,194.95
July-81,201.35
August-81,202.95
September-81,204.25
October-81,203.55
November-81,201.15
December-81,200.25
January-82,200.15
February-82,202
March-82,201.9
April-82,204.4
May-82,210.85
June-82,217.95
July-82,219.55
August-82,218.4
September-82,221.6
October-82,218.3
November-82,215.45
December-82,212.9
January-83,214.3
February-83,214.25
March-83,212.65
April-83,212.15
May-83,211.75
June-83,209
July-83,207.1
August-83,204.9
September-83,202.05
October-83,199.8
November-83,197.7
December-83,196.85
January-84,203.4
February-84,206.05
March-84,204.5
April-84,204.85
May-84,202.8
June-84,202.4
July-84,201.95
August-84,204.4
September-84,202.15
October-84,202.15
November-84,202.2
December-84,204.6
January-85,205.6
February-85,204.9
March-85,204.4
April-85,200.65
May-85,199.15
June-85,197.6
July-85,194.2
August-85,196.4
September-85,195.5
October-85,194.85
November-85,198.9
December-85,204.55
January-86,205.85
February-86,203.3
March-86,200.9
April-86,197.35
May-86,197.3
June-86,199.45
July-86,208.75
August-86,213.8
September-86,216.4
October-86,216.75
November-86,216.75
December-86,216.6
January-87,215.8
February-87,213
March-87,210.7
April-87,211.05
May-87,216.85
June-87,221.85
July-87,224.4
August-87,224.4
September-87,224.8
October-87,223.6
November-87,221.3
December-87,218.75
January-88,217.4
February-88,217.9
March-88,219.1
April-88,219.7
May-88,221.55
June-88,227.15
July-88,226.6
August-88,224.85
September-88,225.45
October-88,222.75
November-88,222.15
December-88,221.65
January-89,225.4
February-89,223.95
March-89,227.4
April-89,227.6
May-89,227.05
June-89,229.2
July-89,231.55
August-89,231.75
September-89,230.65
October-89,230.8
November-89,233.5
December-89,235.85
January-90,240.4
February-90,239.45
March-90,240.45
April-90,245.25
May-90,250.9
June-90,256.4
July-90,257.5
August-90,259.25
September-90,257.1
October-90,259.4
November-90,263.7
December-90,265.7
January-91,261.75
February-91,260.25
March-91,260.85
April-91,260.55
May-91,260.9
June-91,259.7
July-91,259.35
August-91,256
September-91,252.15
October-91,248.45
November-91,249
December-91,246
January-92,244.45
February-92,246.95
March-92,247.65
April-92,246.55
May-92,246.8
June-92,247.8
July-92,248
August-92,246.05
September-92,247.65
October-92,247.75
November-92,247.45
December-92,247.5
January-93,247.9
February-93,248.8
March-93,250.3
April-93,250.8
May-93,255.15
June-93,252.9
July-93,254.25
August-93,250.55
September-93,250.85
October-93,250.7
November-93,252.4
December-93,250.5
January-94,249.85
February-94,248.2
March-94,250.7
April-94,248.65
May-94,249.2
June-94,246.9
July-94,246.1
August-94,244.5
September-94,244.35
October-94,243.3
November-94,243.25
December-94,239.35
January-95,242.55
February-95,242.6
March-95,244.7
April-95,242.7
May-95,242.15
June-95,241.7
July-95,244.95
August-95,246.55
September-95,246.5
October-95,249.7
November-95,249.4
December-95,249
January-96,247.15
February-96,249.55
March-96,248.85
April-96,250
May-96,251.3
June-96,255.85
July-96,258.2
August-96,262.95
September-96,264.25
October-96,264.2
November-96,265.45
December-96,265.95
January-97,263.95
February-97,261.65
March-97,259.15
April-97,259.3
May-97,261.3
June-97,262.45
July-97,262.7
August-97,265.35
September-97,265.65
October-97,263.75
November-97,261.35
December-97,260.45
January-98,261.85
February-98,260.05
March-98,256.75
April-98,256.9
May-98,259
June-98,260.9
July-98,261.8
August-98,262.2
September-98,259.45
October-98,258.6
November-98,260.5
December-98,260.85
January-99,256.25
February-99,257.45
March-99,257
April-99,259.35
May-99,261.2
June-99,264.2
July-99,266.8
August-99,267.9
September-99,268.75
October-99,270.05
November-99,272.35
December-99,273.95
January-00,270.2
February-00,272.3
March-00,275.35
April-00,280.45
May-00,282.5
June-00,285.9
July-00,286.15
August-00,287.75
September-00,289
October-00,286.95
November-00,284.8
December-00,286.3
January-01,291
February-01,297.85
March-01,299.85
April-01,303.25
May-01,305.35
June-01,309.25
July-01,307.95
August-01,307.8
September-01,307.85
October-01,307.2
November-01,304.45
December-01,300.85
January-02,300.8
February-02,301.1
March-02,300.05
April-02,300.1
May-02,301.7
June-02,298.3
July-02,296.55
August-02,300.55
September-02,295.5
October-02,293.4
November-02,296.55
December-02,299.2
January-03,298.95
February-03,305.3
March-03,309.3
April-03,314.3
May-03,309.95
June-03,315
July-03,315.85
August-03,322.05
September-03,321.75
October-03,331.9
November-03,351.95
December-03,346.15
January-04,334.9
February-04,333.95
March-04,333.35
April-04,338.5
May-04,340.85
June-04,350.15
July-04,351.3
August-04,349.9
September-04,349
October-04,345.4
November-04,343.4
December-04,343.4
January-05,345.95
February-05,348.4
March-05,351.3
April-05,355.2
May-05,357.7
June-05,352.2
July-05,341.65
August-05,340.65
September-05,337.5
October-05,338.4
November-05,339.45
December-05,342.3
January-06,341.6
February-06,342.75
March-06,338.7
April-06,340.8
May-06,335.85
June-06,336
July-06,336
August-06,341.3
September-06,340.4
October-06,340.65
November-06,337.9
December-06,334.45
January-07,337.1
February-07,342.35
March-07,350.45
April-07,354.9
May-07,358.55
June-07,356.2
July-07,353.95
August-07,354.5
September-07,356.65
October-07,352.95
November-07,351.1
December-07,348.6
January-08,347.8
February-08,350.55
March-08,351.9
April-08,351.5
May-08,357.2
June-08,361.45
July-08,365.1
August-08,377.15
September-08,376.75
October-08,376.4
November-08,371.8
December-08,369
January-09,365.95
February-09,366.45
March-09,362.1
April-09,359.35
May-09,364.45
June-09,361.55
July-09,356.8
August-09,357.5
September-09,351.9
October-09,351.25
November-09,356.1
December-09,355.05
January-10,352.55
February-10,355.15
March-10,360.9
April-10,367.75
May-10,375
June-10,378.8
July-10,380
August-10,379.25
September-10,385.9
October-10,392.05
November-10,390.4
December-10,380.9
January-11,388.1
February-11,393.3
March-11,404.1
April-11,408.55
May-11,416.05
June-11,413.05
July-11,411.65
August-11,419
September-11,423.75
October-11,420.05
November-11,425.6
December-11,423.85
January-12,429.4
February-12,427
March-12,427.15
April-12,422.25
May-12,418.65
June-12,416.45
July-12,422.35
August-12,423.55
September-12,422.4
October-12,424.4
November-12,429.35
December-12,425.25
January-13,432.85
February-13,433.5
March-13,439
April-13,436.55
May-13,438.95
June-13,444.55
July-13,451.35
August-13,455.4
September-13,454.3
October-13,458.2
November-13,459.25
December-13,456.05
January-14,455.2
February-14,465.1
March-14,477.5
April-14,491.05
May-14,500.6
June-14,501.65
July-14,503.9
August-14,522
September-14,523.55
October-14,519.5
November-14,518.35
December-14,515.05
January-15,516.1
February-15,510.55
March-15,509.15
April-15,508.55
May-15,505.4
June-15,505.45
July-15,506.7
August-15,508.1
September-15,507.45
October-15,510.2
November-15,506.3
December-15,490.9
January-16,488.4
February-16,486.2
March-16,499.15
April-16,495.2
May-16,493.1
June-16,498.5
July-16,493.55
August-16,485.65
September-16,482.85
October-16,474
November-16,469.45
December-16,460.25
January-17,461.6
February-17,474.15
March-17,484.2
April-17,484
May-17,493.4
June-17,498.15
July-17,496.65
August-17,495.25
September-17,488.35
October-17,483.1
November-17,479.65
December-17,477.15
January-18,475.4
February-18,478.4
March-18,481.2
April-18,490.6
May-18,485.25
June-18,483.75
July-18,487.55
August-18,494.95
September-18,486
October-18,478.35
November-18,480.6
December-18,478.65
January-19,478.7
February-19,481.55
March-19,493.35
April-19,494.45
May-19,502.8
June-19,503.35
July-19,503.7
August-19,498.5
September-19,494.25
October-19,490.2
November-19,496.25
December-19,495.05
January-20,494.8
February-20,495.45
March-20,494.6
April-20,516.85
May-20,581.65
June-20,590.15
July-20,550.85
August-20,528.8
September-20,521.2
October-20,521.9
November-20,521.95
December-20,520.65
