Element,Item,Year,Unit,Value
Import Quantity,Bovine Meat,1961,tonnes,387520
Import Quantity,Bovine Meat,1962,tonnes,554262
Import Quantity,Bovine Meat,1963,tonnes,647256
Import Quantity,Bovine Meat,1964,tonnes,468543
Import Quantity,Bovine Meat,1965,tonnes,410271
Import Quantity,Bovine Meat,1966,tonnes,527636
Import Quantity,Bovine Meat,1967,tonnes,578941
Import Quantity,Bovine Meat,1968,tonnes,666259
Import Quantity,Bovine Meat,1969,tonnes,720014
Import Quantity,Bovine Meat,1970,tonnes,804135
Import Quantity,Bovine Meat,1971,tonnes,768656
Import Quantity,Bovine Meat,1972,tonnes,871117
Import Quantity,Bovine Meat,1973,tonnes,878934
Import Quantity,Bovine Meat,1974,tonnes,718787
Import Quantity,Bovine Meat,1975,tonnes,784785
Import Quantity,Bovine Meat,1976,tonnes,894108
Import Quantity,Bovine Meat,1977,tonnes,805239
Import Quantity,Bovine Meat,1978,tonnes,970614
Import Quantity,Bovine Meat,1979,tonnes,1024530
Import Quantity,Bovine Meat,1980,tonnes,913838
Import Quantity,Bovine Meat,1981,tonnes,782883
Import Quantity,Bovine Meat,1982,tonnes,880811
Import Quantity,Bovine Meat,1983,tonnes,821441
Import Quantity,Bovine Meat,1984,tonnes,758290
Import Quantity,Bovine Meat,1985,tonnes,875797
Import Quantity,Bovine Meat,1986,tonnes,899777
Import Quantity,Bovine Meat,1987,tonnes,977693
Import Quantity,Bovine Meat,1988,tonnes,1018078
Import Quantity,Bovine Meat,1989,tonnes,918455
Import Quantity,Bovine Meat,1990,tonnes,1002335
Import Quantity,Bovine Meat,1991,tonnes,1025041
Import Quantity,Bovine Meat,1992,tonnes,1085251
Import Quantity,Bovine Meat,1993,tonnes,1026192
Import Quantity,Bovine Meat,1994,tonnes,999344
Import Quantity,Bovine Meat,1995,tonnes,795478
Import Quantity,Bovine Meat,1996,tonnes,901866
Import Quantity,Bovine Meat,1997,tonnes,1027067
Import Quantity,Bovine Meat,1998,tonnes,1159276
Import Quantity,Bovine Meat,1999,tonnes,1261631
Import Quantity,Bovine Meat,2000,tonnes,1342202
