Domain,Area,Element,Item,Year,Unit,Value
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 persons","303486.012"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 persons","306307.567"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 persons","309011.475"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 persons","311584.047"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 persons","314043.885"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 persons","316400.538"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 persons","318673.411"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 persons","320878.31"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 persons","323015.995"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","325084.756"
"Annual population","United States of America","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 persons","327096.265"
