Domain,Area,Element,Item,Year,Value
Food Balances (2014-),United States of America,Production,Bovine Meat,2014,11698
Food Balances (2014-),United States of America,Production,Bovine Meat,2015,10778
Food Balances (2014-),United States of America,Production,Bovine Meat,2016,11471
Food Balances (2014-),United States of America,Production,Bovine Meat,2017,11907
Food Balances (2014-),United States of America,Production,Bovine Meat,2018,12219
Food Balances (2014-),United States of America,Import Quantity,Bovine Meat,2014,1440
Food Balances (2014-),United States of America,Import Quantity,Bovine Meat,2015,1635
Food Balances (2014-),United States of America,Import Quantity,Bovine Meat,2016,1446
Food Balances (2014-),United States of America,Import Quantity,Bovine Meat,2017,1454
Food Balances (2014-),United States of America,Import Quantity,Bovine Meat,2018,1449
Food Balances (2014-),United States of America,Stock Variation,Bovine Meat,2014,4
Food Balances (2014-),United States of America,Stock Variation,Bovine Meat,2015,52
Food Balances (2014-),United States of America,Stock Variation,Bovine Meat,2016,57
Food Balances (2014-),United States of America,Stock Variation,Bovine Meat,2017,-48
Food Balances (2014-),United States of America,Stock Variation,Bovine Meat,2018,17
Food Balances (2014-),United States of America,Export Quantity,Bovine Meat,2014,1225
Food Balances (2014-),United States of America,Export Quantity,Bovine Meat,2015,1080
Food Balances (2014-),United States of America,Export Quantity,Bovine Meat,2016,1218
Food Balances (2014-),United States of America,Export Quantity,Bovine Meat,2017,1363
Food Balances (2014-),United States of America,Export Quantity,Bovine Meat,2018,1496
Food Balances (2014-),United States of America,Losses,Bovine Meat,2014,
Food Balances (2014-),United States of America,Losses,Bovine Meat,2015,
Food Balances (2014-),United States of America,Losses,Bovine Meat,2016,
Food Balances (2014-),United States of America,Losses,Bovine Meat,2017,
Food Balances (2014-),United States of America,Losses,Bovine Meat,2018,
Food Balances (2014-),United States of America,Processing,Bovine Meat,2014,0
Food Balances (2014-),United States of America,Processing,Bovine Meat,2015,0
Food Balances (2014-),United States of America,Processing,Bovine Meat,2016,0
Food Balances (2014-),United States of America,Processing,Bovine Meat,2017,0
Food Balances (2014-),United States of America,Processing,Bovine Meat,2018,0
Food Balances (2014-),United States of America,Other uses (non-food),Bovine Meat,2014,0
Food Balances (2014-),United States of America,Other uses (non-food),Bovine Meat,2015,0
Food Balances (2014-),United States of America,Other uses (non-food),Bovine Meat,2016,0
Food Balances (2014-),United States of America,Other uses (non-food),Bovine Meat,2017,0
Food Balances (2014-),United States of America,Other uses (non-food),Bovine Meat,2018,0
Food Balances (2014-),United States of America,Tourist consumption,Bovine Meat,2014,
Food Balances (2014-),United States of America,Tourist consumption,Bovine Meat,2015,
Food Balances (2014-),United States of America,Tourist consumption,Bovine Meat,2016,
Food Balances (2014-),United States of America,Tourist consumption,Bovine Meat,2017,
Food Balances (2014-),United States of America,Tourist consumption,Bovine Meat,2018,
Food Balances (2014-),United States of America,Residuals,Bovine Meat,2014,-20
Food Balances (2014-),United States of America,Residuals,Bovine Meat,2015,-6
Food Balances (2014-),United States of America,Residuals,Bovine Meat,2016,-12
Food Balances (2014-),United States of America,Residuals,Bovine Meat,2017,-7
Food Balances (2014-),United States of America,Residuals,Bovine Meat,2018,0
Food Balances (2014-),United States of America,Production,Mutton & Goat Meat,2014,82
Food Balances (2014-),United States of America,Production,Mutton & Goat Meat,2015,79
Food Balances (2014-),United States of America,Production,Mutton & Goat Meat,2016,79
Food Balances (2014-),United States of America,Production,Mutton & Goat Meat,2017,77
Food Balances (2014-),United States of America,Production,Mutton & Goat Meat,2018,81
Food Balances (2014-),United States of America,Import Quantity,Mutton & Goat Meat,2014,98
Food Balances (2014-),United States of America,Import Quantity,Mutton & Goat Meat,2015,104
Food Balances (2014-),United States of America,Import Quantity,Mutton & Goat Meat,2016,104
Food Balances (2014-),United States of America,Import Quantity,Mutton & Goat Meat,2017,122
Food Balances (2014-),United States of America,Import Quantity,Mutton & Goat Meat,2018,125
Food Balances (2014-),United States of America,Stock Variation,Mutton & Goat Meat,2014,0
Food Balances (2014-),United States of America,Stock Variation,Mutton & Goat Meat,2015,0
Food Balances (2014-),United States of America,Stock Variation,Mutton & Goat Meat,2016,0
Food Balances (2014-),United States of America,Stock Variation,Mutton & Goat Meat,2017,0
Food Balances (2014-),United States of America,Stock Variation,Mutton & Goat Meat,2018,0
Food Balances (2014-),United States of America,Export Quantity,Mutton & Goat Meat,2014,4
Food Balances (2014-),United States of America,Export Quantity,Mutton & Goat Meat,2015,3
Food Balances (2014-),United States of America,Export Quantity,Mutton & Goat Meat,2016,3
Food Balances (2014-),United States of America,Export Quantity,Mutton & Goat Meat,2017,4
Food Balances (2014-),United States of America,Export Quantity,Mutton & Goat Meat,2018,4
Food Balances (2014-),United States of America,Losses,Mutton & Goat Meat,2014,
Food Balances (2014-),United States of America,Losses,Mutton & Goat Meat,2015,
Food Balances (2014-),United States of America,Losses,Mutton & Goat Meat,2016,
Food Balances (2014-),United States of America,Losses,Mutton & Goat Meat,2017,
Food Balances (2014-),United States of America,Losses,Mutton & Goat Meat,2018,
Food Balances (2014-),United States of America,Processing,Mutton & Goat Meat,2014,
Food Balances (2014-),United States of America,Processing,Mutton & Goat Meat,2015,
Food Balances (2014-),United States of America,Processing,Mutton & Goat Meat,2016,
Food Balances (2014-),United States of America,Processing,Mutton & Goat Meat,2017,
Food Balances (2014-),United States of America,Processing,Mutton & Goat Meat,2018,
Food Balances (2014-),United States of America,Other uses (non-food),Mutton & Goat Meat,2014,
Food Balances (2014-),United States of America,Other uses (non-food),Mutton & Goat Meat,2015,
Food Balances (2014-),United States of America,Other uses (non-food),Mutton & Goat Meat,2016,
Food Balances (2014-),United States of America,Other uses (non-food),Mutton & Goat Meat,2017,
Food Balances (2014-),United States of America,Other uses (non-food),Mutton & Goat Meat,2018,
Food Balances (2014-),United States of America,Tourist consumption,Mutton & Goat Meat,2014,
Food Balances (2014-),United States of America,Tourist consumption,Mutton & Goat Meat,2015,
Food Balances (2014-),United States of America,Tourist consumption,Mutton & Goat Meat,2016,
Food Balances (2014-),United States of America,Tourist consumption,Mutton & Goat Meat,2017,
Food Balances (2014-),United States of America,Tourist consumption,Mutton & Goat Meat,2018,
Food Balances (2014-),United States of America,Residuals,Mutton & Goat Meat,2014,0
Food Balances (2014-),United States of America,Residuals,Mutton & Goat Meat,2015,0
Food Balances (2014-),United States of America,Residuals,Mutton & Goat Meat,2016,0
Food Balances (2014-),United States of America,Residuals,Mutton & Goat Meat,2017,0
Food Balances (2014-),United States of America,Residuals,Mutton & Goat Meat,2018,0
Food Balances (2014-),United States of America,Production,Pigmeat,2014,10368
Food Balances (2014-),United States of America,Production,Pigmeat,2015,11121
Food Balances (2014-),United States of America,Production,Pigmeat,2016,11320
Food Balances (2014-),United States of America,Production,Pigmeat,2017,11611
Food Balances (2014-),United States of America,Production,Pigmeat,2018,11943
