Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1991,1000 tonnes,86
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1992,1000 tonnes,86
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1993,1000 tonnes,97
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1994,1000 tonnes,113
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1995,1000 tonnes,130
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1996,1000 tonnes,143
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1997,1000 tonnes,156
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1998,1000 tonnes,171
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,1999,1000 tonnes,149
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2000,1000 tonnes,126
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2001,1000 tonnes,108
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2002,1000 tonnes,150
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2003,1000 tonnes,137
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2004,1000 tonnes,149
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2005,1000 tonnes,141
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2006,1000 tonnes,117
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2007,1000 tonnes,137
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2008,1000 tonnes,133
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2009,1000 tonnes,135
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2010,1000 tonnes,131
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2011,1000 tonnes,138
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2012,1000 tonnes,139
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Bovine Meat,2013,1000 tonnes,134
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1991,1000 tonnes,137
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1992,1000 tonnes,133
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1993,1000 tonnes,132
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1994,1000 tonnes,134
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1995,1000 tonnes,134
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1996,1000 tonnes,145
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1997,1000 tonnes,160
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1998,1000 tonnes,174
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,1999,1000 tonnes,192
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2000,1000 tonnes,170
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2001,1000 tonnes,146
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2002,1000 tonnes,119
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2003,1000 tonnes,122
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2004,1000 tonnes,131
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2005,1000 tonnes,134
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2006,1000 tonnes,119
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2007,1000 tonnes,101
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2008,1000 tonnes,128
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2009,1000 tonnes,137
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2010,1000 tonnes,157
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2011,1000 tonnes,161
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2012,1000 tonnes,155
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Mutton & Goat Meat,2013,1000 tonnes,150
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1991,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1992,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1993,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1994,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1995,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1996,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1997,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1998,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,1999,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2000,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2001,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2002,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2003,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2004,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2005,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2006,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2007,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2008,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2009,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2010,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2011,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2012,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Pigmeat,2013,,
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1991,1000 tonnes,12
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1992,1000 tonnes,12
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1993,1000 tonnes,12
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1994,1000 tonnes,12
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1995,1000 tonnes,12
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1996,1000 tonnes,13
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1997,1000 tonnes,14
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1998,1000 tonnes,15
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,1999,1000 tonnes,14
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2000,1000 tonnes,13
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2001,1000 tonnes,13
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2002,1000 tonnes,24
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2003,1000 tonnes,28
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2004,1000 tonnes,31
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2005,1000 tonnes,32
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2006,1000 tonnes,24
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2007,1000 tonnes,18
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2008,1000 tonnes,21
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2009,1000 tonnes,20
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2010,1000 tonnes,28
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2011,1000 tonnes,26
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2012,1000 tonnes,25
"Food Balances (-2013, old methodology and population)",Afghanistan,Production,Poultry Meat,2013,1000 tonnes,26
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1991,1000 tonnes,21
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1992,1000 tonnes,23
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1993,1000 tonnes,24
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1994,1000 tonnes,28
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1995,1000 tonnes,31
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1996,1000 tonnes,33
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1997,1000 tonnes,33
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1998,1000 tonnes,32
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,1999,1000 tonnes,34
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2000,1000 tonnes,36
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2001,1000 tonnes,35
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2002,1000 tonnes,38
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2003,1000 tonnes,40
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2004,1000 tonnes,40
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2005,1000 tonnes,41
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2006,1000 tonnes,49
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2007,1000 tonnes,50
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2008,1000 tonnes,57
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2009,1000 tonnes,58
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2010,1000 tonnes,64
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2011,1000 tonnes,65
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2012,1000 tonnes,69
"Food Balances (-2013, old methodology and population)",Albania,Production,Bovine Meat,2013,1000 tonnes,70
