Area,Year,Pop,Bovine Production,Pig Production,Poultry Production,Bovine Price,Poultry Price,Pig Price,Emissions
Argentina,1991,33079.0,2918.0,142.0,411.0,3.66,9.65,4.82,123797.0043
Argentina,1992,33529.326,2784.0,157.0,498.0,4.6,9.57,6.59,125478.4229
Argentina,1993,33970.111,2808.0,230.0,713.0,4.01,10.01,5.83,123486.8655
Argentina,1994,34402.672,2783.0,230.0,753.0,3.91,9.77,6.09,125037.5721
Argentina,1995,34828.17,2688.0,211.0,817.0,3.96,9.52,6.15,124291.0892
Argentina,1996,35246.374,2694.0,180.0,790.0,4.21,10.01,6.97,121514.1827
Argentina,1997,35657.429,2712.0,161.0,823.0,4.72,8.82,7.54,120920.9979
Argentina,1998,36063.459,2469.0,184.0,930.0,5.48,7.76,6.47,117550.8476
Argentina,1999,36467.218,2720.0,215.0,983.0,4.12,6.74,4.82,120093.7162
Argentina,2000,36870.787,2718.0,214.0,1000.0,4.5,6.74,4.94,122254.9484
Argentina,2001,37275.652,2461.0,198.0,993.0,3.97,6.64,5.07,121363.6451
Argentina,2002,37681.749,2493.0,165.0,742.0,7.89,11.5,9.89,125288.2818
Argentina,2003,38087.868,2658.0,150.0,781.0,9.87,26.47,13.95,135678.4092
Argentina,2004,38491.972,3024.0,160.0,909.0,9.92,19.59,13.6,136899.1923
Argentina,2005,38892.931,3131.0,185.0,1053.0,11.47,19.96,13.88,136478.2809
Argentina,2006,39289.878,3034.0,230.0,1202.0,11.15,17.24,14.47,139872.1149
Argentina,2007,39684.295,3224.0,240.0,1288.0,11.77,21.96,16.61,142662.1991
Argentina,2008,40080.16,3132.0,274.0,1445.0,13.35,23.56,20.17,140063.2322
Argentina,2009,40482.788,3378.0,289.0,1546.0,14.26,23.5,19.87,129574.5253
Argentina,2010,40895.752,2630.0,279.0,1643.0,29.85,37.4,29.59,121611.6489
Argentina,2011,41320.5,2499.0,301.0,1825.0,40.2,44.4,36.21,121677.9352
Argentina,2012,41755.196,2594.0,331.0,1949.0,41.74,45.71,45.46,124028.4098
Argentina,2013,42196.03,2822.0,416.0,1967.0,46.36,57.44,47.83,126974.3331
Argentina,2014,42637.511,2674.0,442.0,1981.0,70.32,81.35,69.67,128157.384
Argentina,2015,43075.416,2727.0,483.0,2138.0,92.74,95.58,103.51,127583.166
Argentina,2016,43508.46,2644.0,522.0,2100.0,136.94,118.65,126.82,131614.8793
Argentina,2017,43937.14,2845.0,566.0,2162.0,139.71,150.41,155.68,138053.8128
Argentina,2018,44361.15,3066.0,621.0,2115.0,181.35,264.13,206.7,136001.5824
Australia,1991,17189.24,1760.0,312.0,417.0,69.31,125.46,85.22,180409.1433
Australia,1992,17402.173,1791.0,336.0,443.0,66.92,115.89,75.5,176820.534
Australia,1993,17603.205,1826.0,328.0,464.0,64.84,109.62,73.71,174192.0695
Australia,1994,17798.529,1825.0,344.0,489.0,74.1,112.92,71.52,175903.2984
Australia,1995,17993.074,1803.0,351.0,489.0,69.63,110.34,66.46,172879.1979
Australia,1996,18189.277,1745.0,334.0,507.0,57.66,104.71,65.31,160690.2662
Australia,1997,18387.214,1810.0,344.0,589.0,54.69,100.37,88.15,159302.6314
Australia,1998,18587.021,1955.0,369.0,631.0,61.06,101.01,76.24,166154.3933
Australia,1999,18788.186,2011.0,362.0,607.0,64.65,96.03,71.81,197604.4517
Australia,2000,18991.431,1988.0,364.0,643.0,73.03,90.32,84.01,214798.9413
Australia,2001,19194.672,2119.0,365.0,641.0,88.03,90.08,86.72,233279.2622
Australia,2002,19401.368,2028.0,407.0,687.0,102.08,92.97,94.2,218750.6024
Australia,2003,19624.166,2073.0,419.0,713.0,88.72,97.23,83.61,139577.5379
Australia,2004,19879.649,2033.0,395.0,716.0,96.79,103.91,83.44,183692.4367
Australia,2005,20178.54,2162.0,391.0,781.0,108.07,96.51,89.77,140733.9981
Australia,2006,20526.303,2077.0,386.0,805.0,109.58,85.09,88.21,178425.2997
Australia,2007,20916.344,2226.0,382.0,859.0,105.92,85.89,95.23,168483.5635
Australia,2008,21332.282,2132.0,360.0,839.0,99.43,109.78,92.07,135467.0284
Australia,2009,21750.851,2124.0,321.0,872.0,101.01,120.07,114.91,142504.224
Australia,2010,22154.679,2110.0,336.0,921.0,98.61,114.69,111.29,118677.7408
Australia,2011,22538.001,2128.0,343.0,1055.0,108.0,110.1,103.58,223191.4233
Australia,2012,22903.948,2129.0,349.0,1076.0,108.38,108.49,102.71,222089.1559
Australia,2013,23254.913,2318.0,361.0,1098.0,101.89,104.79,101.16,141279.0343
Australia,2014,23596.424,2595.0,362.0,1142.0,100.57,104.23,99.43,163011.3172
Australia,2015,23932.502,2662.0,371.0,1155.0,99.43,96.27,98.63,154527.4268
Australia,2016,24262.712,2316.0,378.0,1233.0,95.84,99.5,101.94,122488.6166
Australia,2017,24584.62,2069.0,397.0,1271.0,98.36,100.96,103.43,165797.635
Australia,2018,24898.152,2238.0,417.0,1235.0,96.06,102.17,104.67,162188.5526
Austria,1991,7772.701,236.0,517.0,93.0,91.91,125.44,128.76,10191.9465
Austria,1992,7830.933,247.0,527.0,99.0,90.54,123.42,129.56,9951.7227
Austria,1993,7892.086,223.0,538.0,102.0,90.3,123.28,117.37,9584.5058
Austria,1994,7947.209,212.0,598.0,103.0,90.82,122.61,118.08,9468.9885
Austria,1995,7990.121,196.0,466.0,99.0,74.95,77.33,94.64,9034.8608
Austria,1996,8017.863,221.0,481.0,98.0,67.81,76.11,103.39,9064.3489
Austria,1997,8032.876,206.0,489.0,103.0,69.13,75.1,111.24,8924.2209
Austria,1998,8041.05,197.0,508.0,106.0,75.44,76.86,78.71,8734.755
Austria,1999,8051.113,203.0,520.0,105.0,72.94,73.35,73.29,8674.7847
Austria,2000,8069.276,203.0,502.0,111.0,74.51,72.54,91.85,8492.0991
Austria,2001,8097.748,215.0,488.0,113.0,63.82,75.44,110.35,8450.736
Austria,2002,8134.412,212.0,511.0,113.0,69.69,74.84,87.59,8266.5844
Austria,2003,8175.852,208.0,506.0,113.0,70.22,74.19,81.04,8013.553
Austria,2004,8216.805,206.0,516.0,120.0,70.22,74.47,90.86,7919.8629
Austria,2005,8253.65,204.0,509.0,120.0,79.05,74.74,93.32,7895.887
Austria,2006,8285.343,216.0,505.0,115.0,81.96,74.74,97.41,7774.9267
Austria,2007,8313.737,218.0,531.0,124.0,79.29,75.86,88.73,7649.4014
Austria,2008,8341.532,224.0,526.0,125.0,85.06,83.29,102.07,7760.0048
Austria,2009,8372.663,226.0,540.0,125.0,83.2,85.05,92.66,7642.4423
Austria,2010,8409.949,227.0,546.0,134.0,84.25,85.05,92.01,7764.4627
Austria,2011,8453.501,222.0,544.0,138.0,94.12,86.72,101.34,7784.616
Austria,2012,8502.227,222.0,530.0,134.0,102.46,85.79,114.02,7720.7886
Austria,2013,8556.189,229.0,529.0,131.0,100.79,100.0,113.62,7676.409
Austria,2014,8615.214,223.0,527.0,135.0,97.89,100.0,105.68,7766.4403
Austria,2015,8678.66,230.0,529.0,137.0,102.13,100.0,95.12,7761.5298
Austria,2016,8747.301,228.0,515.0,147.0,99.98,100.0,99.21,7777.2243
Austria,2017,8819.901,227.0,508.0,148.0,103.46,100.0,109.77,7718.2231
Austria,2018,8891.388,234.0,510.0,152.0,103.7,97.86,99.21,7539.0632
Belarus,2000,9871.632,213.0,302.0,76.0,1.79,5.3,2.99,20445.5367
Belarus,2001,9811.401,231.0,303.0,85.0,3.18,8.31,5.42,20173.6806
Belarus,2002,9745.923,227.0,301.0,85.0,5.09,12.39,7.02,19553.1575
Belarus,2003,9679.235,211.0,301.0,87.0,5.5,14.37,7.68,19552.7473
Belarus,2004,9616.634,224.0,299.0,102.0,7.41,19.37,10.33,19497.5647
Belarus,2005,9562.088,256.0,321.0,116.0,9.15,23.9,13.08,19827.1314
Belarus,2006,9516.883,272.0,346.0,146.0,10.15,26.52,13.78,20237.7725
Belarus,2007,9480.515,274.0,372.0,166.0,11.72,30.61,14.65,20052.3693
Belarus,2008,9452.855,269.0,376.0,193.0,15.48,40.44,17.62,20466.5798
Belarus,2009,9433.152,308.0,388.0,220.0,18.06,47.17,19.34,20874.6144
Belarus,2010,9420.574,308.0,398.0,260.0,22.26,27.93,21.1,20766.9796
Belarus,2011,9415.32,298.0,419.0,299.0,42.08,39.47,35.98,21316.957
Belarus,2012,9417.046,293.0,443.0,353.0,93.6,73.23,74.62,21407.3443
Belarus,2013,9423.506,316.0,469.0,385.0,97.02,82.89,74.73,21340.0133
